territory,offset,cfr
Denmark,15,0.00406
Denmark,16,0.00416
Denmark,17,0.00416
Denmark,18,0.00416
Denmark,19,0.00436
Denmark,20,0.00446
Denmark,21,0.00456
Denmark,22,0.00466
Denmark,23,0.00466
Denmark,24,0.00486
Denmark,25,0.00496
Denmark,26,0.00535
Denmark,27,0.00585
Denmark,28,0.00595
Denmark,29,0.00644
Denmark,30,0.00654
Denmark,31,0.00674
Denmark,32,0.00684
Denmark,33,0.00684
Denmark,34,0.00654
Denmark,35,0.00684
Netherlands,0,0.00356
Netherlands,1,0.00372
Netherlands,2,0.00390
Netherlands,3,0.00420
Netherlands,4,0.00436
Netherlands,5,0.00475
Netherlands,6,0.00481
Netherlands,7,0.00497
Netherlands,8,0.00543
Netherlands,9,0.00621
Netherlands,10,0.00643
Netherlands,11,0.00666
Netherlands,12,0.00717
Netherlands,13,0.00753
Netherlands,14,0.00776
Netherlands,15,0.00851
Netherlands,16,0.00920
Netherlands,17,0.00972
Netherlands,18,0.00993
Netherlands,19,0.01054
Netherlands,20,0.01098
Netherlands,21,0.01111
Netherlands,22,0.01191
Netherlands,23,0.01314
Netherlands,24,0.01383
Netherlands,25,0.01449
Netherlands,26,0.01549
Netherlands,27,0.01590
Netherlands,28,0.01737
Netherlands,29,0.01844
Netherlands,30,0.01942
Netherlands,31,0.02111
Netherlands,32,0.02204
Netherlands,33,0.02245
Netherlands,34,0.02300
Netherlands,35,0.02542
Belgium,0,0.00336
Belgium,1,0.00357
Belgium,2,0.00369
Belgium,3,0.00402
Belgium,4,0.00429
Belgium,5,0.00471
Belgium,6,0.00507
Belgium,7,0.00537
Belgium,8,0.00582
Belgium,9,0.00636
Belgium,10,0.00687
Belgium,11,0.00729
Belgium,12,0.00792
Belgium,13,0.00864
Belgium,14,0.00960
Belgium,15,0.01053
Belgium,16,0.01170
Belgium,17,0.01272
Belgium,18,0.01359
Belgium,19,0.01404
Belgium,20,0.01488
Belgium,21,0.01635
Belgium,22,0.01785
Belgium,23,0.01937
Belgium,24,0.02087
Belgium,25,0.02354
Belgium,26,0.02894
Belgium,27,0.03218
Belgium,28,0.03575
Belgium,29,0.03962
Belgium,30,0.04355
Belgium,31,0.04868
Belgium,32,0.05351
Belgium,33,0.05768
Belgium,34,0.06313
Belgium,35,0.06757
Italy,0,0.00873
Italy,1,0.00911
Italy,2,0.00942
Italy,3,0.00975
Italy,4,0.01004
Italy,5,0.01030
Italy,6,0.01056
Italy,7,0.01065
Italy,8,0.01108
Italy,9,0.01148
Italy,10,0.01177
Italy,11,0.01219
Italy,12,0.01274
Italy,13,0.01319
Italy,14,0.01378
Italy,15,0.01454
Italy,16,0.01528
Italy,17,0.01694
Italy,18,0.01801
Italy,19,0.01855
Italy,20,0.01983
Italy,21,0.02116
Italy,22,0.02294
Italy,23,0.02548
Italy,24,0.02816
Italy,25,0.02985
Italy,26,0.03606
Italy,27,0.03900
Italy,28,0.04387
Italy,29,0.04816
Italy,30,0.05286
Italy,31,0.05701
Italy,32,0.06351
Italy,33,0.06781
Italy,34,0.07291
Italy,35,0.08090
Austria,0,0.00346
Austria,1,0.00376
Austria,2,0.00394
Austria,3,0.00407
Austria,4,0.00413
Austria,5,0.00449
Austria,6,0.00467
Austria,7,0.00437
Austria,8,0.00564
Austria,9,0.00589
Austria,10,0.00637
Austria,11,0.00649
Austria,12,0.00631
Austria,13,0.00655
Austria,14,0.00680
Austria,15,0.00740
Austria,16,0.00789
Austria,17,0.00825
Austria,18,0.00837
Austria,19,0.00862
Austria,20,0.00874
Austria,21,0.00922
Austria,22,0.00947
Austria,23,0.00989
Austria,24,0.01056
Austria,25,0.01129
Austria,26,0.01195
Austria,27,0.01220
Austria,28,0.01311
Austria,29,0.01480
Austria,30,0.01608
Austria,31,0.01681
Austria,32,0.01784
Austria,33,0.01851
Austria,34,0.01954
Austria,35,0.02130
Switzerland,0,0.00516
Switzerland,1,0.00526
Switzerland,2,0.00535
Switzerland,3,0.00507
Switzerland,4,0.00497
Switzerland,5,0.00497
Switzerland,6,0.00488
Switzerland,7,0.00497
Switzerland,8,0.00497
Switzerland,9,0.00497
Switzerland,10,0.00516
Switzerland,11,0.00516
Switzerland,12,0.00488
Switzerland,13,0.00449
Switzerland,14,0.00516
Switzerland,15,0.00574
Switzerland,16,0.00574
Switzerland,17,0.00526
Switzerland,18,0.00555
Switzerland,19,0.00555
Switzerland,20,0.00564
Switzerland,21,0.00650
Switzerland,22,0.00688
Switzerland,23,0.00794
Switzerland,24,0.00861
Switzerland,25,0.00947
Switzerland,26,0.00937
Switzerland,27,0.01291
Switzerland,28,0.01434
Switzerland,29,0.01645
Switzerland,30,0.01931
Switzerland,31,0.02409
Switzerland,32,0.02409
Switzerland,33,0.02409
Switzerland,34,0.03299
Switzerland,35,0.03958
Sweden,0,0.00578
Sweden,1,0.00565
Sweden,2,0.00590
Sweden,3,0.00578
Sweden,4,0.00614
Sweden,5,0.00651
Sweden,6,0.00651
Sweden,7,0.00664
Sweden,8,0.00700
Sweden,9,0.00713
Sweden,10,0.00700
Sweden,11,0.00713
Sweden,12,0.00762
Sweden,13,0.00762
Sweden,14,0.00774
Sweden,15,0.00774
Sweden,16,0.00774
Sweden,17,0.00799
Sweden,18,0.00811
Sweden,19,0.00848
Sweden,20,0.00811
Sweden,21,0.00836
Sweden,22,0.00872
Sweden,23,0.00909
Sweden,24,0.01008
Sweden,25,0.01032
Sweden,26,0.01180
Sweden,27,0.01290
Sweden,28,0.01376
Sweden,29,0.01401
Sweden,30,0.01389
Sweden,31,0.01450
Sweden,32,0.01475
Sweden,33,0.01475
Sweden,34,0.01524
Sweden,35,0.01524
Norway,0,0.00327
Norway,1,0.00327
Norway,2,0.00327
Norway,3,0.00327
Norway,4,0.00360
Norway,5,0.00360
Norway,6,0.00360
Norway,7,0.00360
Norway,8,0.00360
Norway,9,0.00360
Norway,10,0.00327
Norway,11,0.00327
Norway,12,0.00327
Norway,13,0.00327
Norway,14,0.00360
Norway,15,0.00393
Norway,16,0.00393
Norway,17,0.00393
Norway,18,0.00360
Norway,19,0.00360
Norway,20,0.00360
Norway,21,0.00360
Norway,22,0.00360
Norway,23,0.00393
Norway,24,0.00295
Norway,25,0.00295
Norway,26,0.00295
Norway,27,0.00295
Norway,28,0.00196
Norway,29,0.00196
Norway,30,0.00229
Norway,31,0.00262
Norway,32,0.00229
Norway,33,0.00229
Norway,34,0.00229
Norway,35,0.00229
Finland,0,0.00485
Finland,1,0.00485
Finland,2,0.00546
Finland,3,0.00546
Finland,4,0.00607
Finland,5,0.00546
Finland,6,0.00546
Finland,7,0.00607
Finland,8,0.00607
Finland,9,0.00546
Finland,10,0.00546
Finland,11,0.00546
Finland,12,0.00546
Finland,13,0.00546
Finland,14,0.00425
Finland,15,0.00425
Finland,16,0.00667
Finland,17,0.00667
Finland,18,0.00728
Finland,19,0.00728
Finland,20,0.00728
Finland,21,0.00607
Finland,22,0.00607
Finland,23,0.00607
Finland,24,0.00607
Finland,25,0.00607
Finland,26,0.00607
Finland,27,0.00667
Finland,28,0.00667
Finland,29,0.00667
Finland,30,0.00607
Finland,31,0.00850
Finland,32,0.00789
Finland,33,0.00789
Finland,34,0.00850
Finland,35,0.00789
Iceland,0,0.00000
Iceland,1,0.00000
Iceland,2,0.00000
Iceland,3,0.00000
Iceland,4,0.00000
Iceland,5,0.00000
Iceland,6,0.00000
Iceland,7,0.00000
Iceland,8,0.00000
Iceland,9,0.00000
