gn,gender
NATALIA,F
NATALIE,F
NATALIJA,F
NATAN,M
NATAŠA,F
NATHANIEL,M
NATKO,M
NEA,F
NEBOJŠA,M
NEDA,F
NEDILJKO,M
NEDJELJKA,F
NELA,F
NELI,F
NELLO,M
NEMANJA,M
NENA,F
NENAD,M
NENSI,F
NEO,M
NERA,F
NEREO,M
NERMIN,M
NEVA,F
NEVEN,M
NEVENA,F
NEVENKA,F
NEVIA,F
NEVIJA,F
NEVIO,M
NIA,F
NICO,M
NICOL,F
NICOLAS,M
NICOLE,F
NIK,M
NIKA,F
NIKE,M
NIKI,F
NIKITA,F
NIKKA,F
NIKO,M
NIKOL,F
NIKOLA,M
NIKOLAS,M
NIKOLINA,F
NIKŠA,M
NINA,F
NINO,M
NITAJ,M
NIVES,F
NOAH,M
NOEL,M
NOELA,F
NOELL,M
NOEMI,F
NOLA,F
NORA,F
NORBERT,M
NORIN,M
NORMAN,M
NUŠA,F
OGNJEN,M
OLEG,M
OLEKSANDR,M
OLGA,F
OLIVER,M
OLIVERA,F
OLJA,F
OMAR,M
ORIANA,F
ORLANDA,F
ORLANDO,M
ORNELLA,F
ORSAT,M
OSKAR,M
OTO,M
OTON,M
OTTAVIO,M
OTTO,M
OZANA,F
OZREN,M
PABLO,M
PALAC,M
PAOLA,F
PAOLINA,F
PAOLO,M
PARTICIA,F
PATRICIA,F
PATRICIJA,F
PATRICK,M
PATRIK,M
PAUL,M
PAULA,F
PAULINA,F
PAULO,M
PAVAO,M
PAVE,M
PAVEL,M
PAVLA,F
PAVLE,M
PAVLINJO,M
PAVLO,M
PAVO,M
PAŠKO,M
PEREIRA,F
PEREZ ADRIAN,M
PERO,M
PERUN,M
PETAR,M
PETRA,F
PETRIK,M
PETRUNJELA,F
PHILLIP,M
PIA,F
PIO,M
PJER,M
PJERINA,F
PJERO,M
PORIN,M
POTJEH,M
PREDRAG,M
PRVČIĆ,M
PUTIGNA,F
RADE,M
RADMILA,F
RADOSLAV,M
RAFAEL,M
RAFAELA,F
RAHELA,F
