ccode,week,caseRate,deathRate
LUX,2021-43,397.854683217592,6.3886741584519
LUX,2021-44,436.98531243811,12.7773483169038
LUX,2021-45,499.274885483016,20.7631910149687
LUX,2021-46,618.104224830221,17.5688539357427
LUX,2021-47,744.280539459646,19.1660224753557
LUX,2021-48,842.186970937921,23.9575280941946
LUX,2021-49,868.220818133613,20.7631910149687
LUX,2021-50,866.783366447961,27.1518651734206
LUX,2021-51,872.85260689849,28.7490337130335
LUX,2021-52,1357.11410810914,22.3603595545816
MLT,2021-01,408.112499125473,33.0376785006335
MLT,2021-02,486.431231100505,34.981071353612
MLT,2021-03,413.553999113813,36.9244642065904
MLT,2021-04,385.180463460328,66.0753570012671
MLT,2021-05,339.122052844738,68.0187498542455
MLT,2021-06,353.114481386183,50.5282141774395
MLT,2021-07,439.789802629022,42.7546427655258
MLT,2021-08,522.189659595308,40.8112499125473
MLT,2021-09,672.025248559946,58.3017855893533
MLT,2021-10,764.336409076422,73.8489284131809
MLT,2021-11,733.436462714065,75.7923212661593
MLT,2021-12,458.252034732317,66.0753570012671
MLT,2021-13,184.622321032952,50.5282141774395
MLT,2021-14,150.224267535234,27.2074999416982
MLT,2021-15,154.694071097084,19.4339285297844
MLT,2021-16,100.473410498986,21.3773213827629
MLT,2021-17,62.3829105806081,13.6037499708491
MLT,2021-18,52.2772677451201,7.77357141191378
MLT,2021-19,26.0414642299112,1.94339285297844
MLT,2021-20,9.91130355019006,0
MLT,2021-21,9.91130355019006,3.88678570595689
MLT,2021-22,12.437714259062,3.88678570595689
MLT,2021-23,8.55092855310515,0
MLT,2021-24,4.46980356185042,1.94339285297844
MLT,2021-25,8.16224998250947,1.94339285297844
MLT,2021-26,15.3528035385297,0
MLT,2021-27,120.684696169961,0
MLT,2021-28,369.050302780607,0
MLT,2021-29,485.07085610342,1.94339285297844
MLT,2021-30,369.244642065904,5.83017855893533
MLT,2021-31,232.818463786818,13.6037499708491
MLT,2021-32,182.484588894676,15.5471428238276
MLT,2021-33,145.17144611749,15.5471428238276
MLT,2021-34,109.218678337389,17.490535676806
MLT,2021-35,131.567696146641,17.490535676806
MLT,2021-36,130.984678290747,17.490535676806
MLT,2021-37,90.1734283781998,19.4339285297844
MLT,2021-38,55.1923570245878,15.5471428238276
MLT,2021-39,38.8678570595689,7.77357141191378
MLT,2021-40,44.5036963332064,3.88678570595689
MLT,2021-41,44.8923749038021,0
MLT,2021-42,35.3697499242077,1.94339285297844
MLT,2021-43,34.2037142124206,3.88678570595689
MLT,2021-44,67.8244105689477,3.88678570595689
MLT,2021-45,113.299803328643,1.94339285297844
MLT,2021-46,163.828017506083,3.88678570595689
MLT,2021-47,208.914731695183,11.6603571178707
MLT,2021-48,255.944838737261,7.77357141191378
MLT,2021-49,269.54858870811,5.83017855893533
MLT,2021-50,406.557784843091,5.83017855893533
MLT,2021-51,1252.12801517401,7.77357141191378
MLT,2021-52,2443.4278340498,15.5471428238276
NLD,2021-01,631.873979072916,75.0822127250851
NLD,2021-02,526.741647391066,69.2801442589538
NLD,2021-03,438.92360715171,62.5589362338314
NLD,2021-04,380.489309688851,55.4356046516504
NLD,2021-05,327.650274291351,48.1399344021586
NLD,2021-06,292.205955047757,45.9569779495548
NLD,2021-07,292.297869003656,46.1293166168656
NLD,2021-08,340.822693096142,39.0059850346846
NLD,2021-09,363.623098781365,29.6996969998998
NLD,2021-10,392.581739511828,24.8742143151965
NLD,2021-11,467.790333926274,20.7380862997366
NLD,2021-12,547.830155647667,18.4976836246958
NLD,2021-13,578.586863140407,17.4062053983939
NLD,2021-14,564.351689220532,16.7168507291505
NLD,2021-15,584.009786538454,16.4870658394028
NLD,2021-16,634.930118106561,16.6594045067136
NLD,2021-17,596.406681340347,15.9700498374703
NLD,2021-18,568.3442016799,15.7977111701595
NLD,2021-19,520.692560168455,13.0977387156231
NLD,2021-20,380.632925244944,10.2828738162129
NLD,2021-21,282.698605234442,7.87013247386125
NLD,2021-22,212.729106306245,6.31908446806378
NLD,2021-23,148.211253887314,4.65314401739242
NLD,2021-24,93.0226679921425,1.95317156285608
NLD,2021-25,61.0308667170087,1.20637067117581
NLD,2021-26,58.2677034177917,0.919139558991095
NLD,2021-27,258.04843118675,1.03403200386498
NLD,2021-28,627.393173722834,1.49360178336053
NLD,2021-29,661.102617048833,2.47018756478857
NLD,2021-30,398.51018966732,3.50421956865355
NLD,2021-31,243.750066422195,4.76803646226631
NLD,2021-32,196.161615755431,5.34249868663574
NLD,2021-33,189.744872709224,4.65314401739242
NLD,2021-34,199.614133723891,4.99782135201408
NLD,2021-35,203.865154184225,5.11271379688797
NLD,2021-36,197.465645004749,4.53825157251853
NLD,2021-37,176.578198526677,4.71059023982936
NLD,2021-38,147.257646594861,3.67655823596438
NLD,2021-39,133.016728052743,2.92975734428412
NLD,2021-40,158.988165216485,2.98720356672106
NLD,2021-41,227.848952051649,4.02123557058604
NLD,2021-42,335.267643386489,7.4105626943657
NLD,2021-43,484.21995354324,12.5232764912537
NLD,2021-44,680.019658097318,17.3487591759569
NLD,2021-45,935.695560297422,20.7955325221735
NLD,2021-46,1384.54013006399,29.7571432223367
NLD,2021-47,1747.43366182041,41.9357423789687
NLD,2021-48,1776.90357393056,47.6229184002261
NLD,2021-49,1612.55567616071,47.9675957348478
NLD,2021-50,1311.18704863426,40.8442641526668
NLD,2021-51,1062.15192974787,27.5741867697329
NLD,2021-52,1068.29867554862,18.1530062900741
POL,2021-01,341.441932689111,107.802969682022
POL,2021-02,305.065016624367,112.307932491315
POL,2021-03,230.585599325236,110.648209351049
POL,2021-04,202.093685417341,101.480214861962
POL,2021-05,196.419012966337,98.8193888751867
POL,2021-06,199.187852681288,96.0795284531607
POL,2021-07,237.019002354647,81.5898819905234
POL,2021-08,316.867492288478,78.5338838274944
POL,2021-09,417.675914450809,82.4592607782816
POL,2021-10,544.041438492057,90.0729113741038
POL,2021-11,718.267582039983,106.51207390626
POL,2021-12,920.903970579379,124.742683637432
POL,2021-13,986.665889670352,149.322393000415
POL,2021-14,839.498502271107,173.243482069642
POL,2021-15,650.345388385489,187.627749285278
POL,2021-16,462.925763113038,184.729819992751
POL,2021-17,290.952100969758,159.491490336012
POL,2021-18,191.708560625392,121.818409533155
POL,2021-19,131.38421067967,95.7370459004074
POL,2021-20,83.0836328167625,77.5591257927352
POL,2021-21,45.1023177164275,54.9289324992706
POL,2021-22,24.1792682243792,32.5094976998081
POL,2021-23,13.6887641854298,22.2086763054605
POL,2021-24,8.862394672784,17.9671616136703
POL,2021-25,5.45337603230169,10.8013728176024
POL,2021-26,3.85951492141158,6.82330624331468
POL,2021-27,3.10605330535444,4.8737901737962
POL,2021-28,3.13239811710469,3.53020477453346
POL,2021-29,3.60133576625914,2.16027456352048
POL,2021-30,4.3047422399908,1.29089577576224
POL,2021-31,5.10562451719839,1.26455096401199
POL,2021-32,6.17258939308351,1.13282690526074
POL,2021-33,6.9840095949912,0.89572359950849
POL,2021-34,7.80333324042396,1.08013728176024
POL,2021-35,10.2613041767223,1.60703351676523
POL,2021-36,14.5792188225882,2.18661937527073
POL,2021-37,20.1037258466156,2.84523966902697
POL,2021-38,25.6545776823932,3.84634251553646
POL,2021-39,34.917413493781,5.45337603230169
POL,2021-40,51.7728240515907,7.82440908982416
POL,2021-41,77.9174152325386,11.0648209351049
POL,2021-42,138.510482258113,15.2273011916443
POL,2021-43,234.550493493648,23.6576409517242
POL,2021-44,357.385812760363,34.6434274515784
POL,2021-45,484.396784689491,49.1857635377162
POL,2021-46,648.625072178198,81.4318131200219
POL,2021-47,808.64609323039,110.621864539299
POL,2021-48,861.254047814463,128.299233223716
POL,2021-49,839.440543685257,143.658258474112
POL,2021-50,747.586723036836,153.195080327702
POL,2021-51,567.087879811175,153.98542468021
POL,2021-52,435.782703566756,160.835075735275
PRT,2021-01,898.949281700139,121.213192540843
PRT,2021-02,1211.81140975508,177.934750588802
PRT,2021-03,1495.27351106153,271.564171750158
PRT,2021-04,1643.72082154184,362.182688289106
