ccode,week,group,denom,dose1,dose2,dose3,doseX,doses,cumDose1,cumDose2,cumDose3,cumDoses
LTU,2021-W46,ALL,2794090,12579,8343,56552,0,77474,1783776,1453125,197428,3438620
LTU,2021-W46,U18,498821,1354,776,7,0,2137,68575,61456,25,130065
LTU,2021-W47,ALL,2794090,11733,7207,74918,0,93858,1795509,1460332,272346,3532478
LTU,2021-W47,U18,498821,1439,756,35,0,2230,70014,62212,60,132295
LTU,2021-W48,ALL,2794090,11734,8866,75041,0,95641,1807243,1469198,347387,3628119
LTU,2021-W48,U18,498821,1432,1124,29,0,2585,71446,63336,89,134880
LTU,2021-W49,ALL,2794090,10188,8156,81107,0,99451,1817431,1477354,428494,3727570
LTU,2021-W49,U18,498821,1110,1229,49,0,2388,72556,64565,138,137268
LTU,2021-W50,ALL,2794090,8320,7549,78012,0,93881,1825751,1484903,506506,3821451
LTU,2021-W50,U18,498821,3164,1267,57,0,4488,75720,65832,195,141756
LTU,2021-W51,ALL,2794090,5418,6207,52246,0,63871,1831169,1491110,558752,3885322
LTU,2021-W51,U18,498821,2180,983,57,0,3220,77900,66815,252,144976
LTU,2021-W52,ALL,2794090,4490,7340,73080,0,84910,1835659,1498450,631832,3970232
LTU,2021-W52,U18,498821,3552,1258,124,0,4934,81452,68073,376,149910
LTU,2022-W01,ALL,2794090,6108,9327,90029,0,105464,1841767,1507777,721861,4075696
LTU,2022-W01,U18,498821,3958,2867,44,0,6869,85410,70940,420,156779
LTU,2022-W02,ALL,2794090,5377,7847,62105,0,75329,1847144,1515624,783966,4151025
LTU,2022-W02,U18,498821,1644,2109,32,0,3785,87054,73049,452,160564
LTU,2022-W03,ALL,2794090,1895,3671,20701,0,26267,1849039,1519295,804667,4177292
LTU,2022-W03,U18,498821,304,1768,11,0,2083,87358,74817,463,162647
LUX,2020-W53,ALL,626108,843,0,0,0,843,843,0,0,843
LUX,2021-W01,ALL,626108,442,0,0,0,442,1285,0,0,1285
LUX,2021-W02,ALL,626108,1493,0,0,0,1493,2778,0,0,2778
LUX,2021-W03,ALL,626108,1758,838,1,0,2597,4536,838,1,5375
LUX,2021-W04,ALL,626108,2911,424,0,0,3335,7447,1262,1,8710
